%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1391634859845587814,794524,1391634859845587814,,-0.1538141705,0.0341802992544,0.151982494866,0.0816303430569,0.812299676518,0.0249014368832,0.57696242604
1391634859846802251,794525,1391634859846802251,,-0.153869343992,0.034189536127,0.151859638429,0.0836584147756,0.812453249853,0.0242668277259,0.576482530102
1391634859847583393,794526,1391634859847583393,,-0.153772192255,0.0345068975191,0.151948819916,0.088800137373,0.811546887895,0.0279083475174,0.576825197517
1391634859848265180,794527,1391634859848265180,,-0.153772192255,0.0345068975191,0.151948819916,0.088800137373,0.811546887895,0.0279083475174,0.576825197517
1391634859849245417,794528,1391634859849245417,,-0.153772192255,0.0345068975191,0.151948819916,0.088800137373,0.811546887895,0.0279083475174,0.576825197517
1391634859851301555,794529,1391634859851301555,,-0.153772192255,0.0345068975191,0.151948819916,0.088800137373,0.811546887895,0.0279083475174,0.576825197517
1391634859854639288,794530,1391634859854639288,,-0.153843186204,0.034219856789,0.151897894746,0.0827181189681,0.812294952722,0.0245226667556,0.576830357551
1391634859855053445,794531,1391634859855053445,,-0.153843186204,0.034219856789,0.151897894746,0.0827181189681,0.812294952722,0.0245226667556,0.576830357551
1391634859855734083,794532,1391634859855734083,,-0.153843186204,0.034219856789,0.151897894746,0.0827181189681,0.812294952722,0.0245226667556,0.576830357551
1391634859857462334,794533,1391634859857462334,,-0.153947650548,0.0342887513884,0.151625201616,0.084302877656,0.812182292808,0.0246941203362,0.576752241859
1391634859858338233,794534,1391634859858338233,,-0.153947635816,0.03429023028,0.151627153819,0.0843282166755,0.812186836974,0.0247075934773,0.57674156131
1391634859859330436,794535,1391634859859330436,,-0.153947635816,0.03429023028,0.151627153819,0.0843282166755,0.812186836974,0.0247075934773,0.57674156131
