%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1391634796443451165,753730,1391634796443451165,,-0.155038773817,0.0346945195631,0.14909268492,0.106793795027,0.809799867646,0.0390483789156,0.575581865427
1391634796444087475,753731,1391634796444087475,,-0.155038522206,0.0346957501656,0.149093353872,0.106811866999,0.809798110676,0.0390606343803,0.575580152416
1391634796444781918,753732,1391634796444781918,,-0.155118030059,0.034760220163,0.148884646832,0.106794958788,0.809887183468,0.03663293203,0.575617594521
1391634796445538642,753733,1391634796445538642,,-0.155118030059,0.034760220163,0.148884646832,0.106794958788,0.809887183468,0.03663293203,0.575617594521
1391634796446310569,753734,1391634796446310569,,-0.154870731461,0.0349247155208,0.149449488073,0.105282507974,0.80943191557,0.0397822440102,0.576327112526
1391634796447088439,753735,1391634796447088439,,-0.154870731461,0.0349247155208,0.149449488073,0.105282507974,0.80943191557,0.0397822440102,0.576327112526
1391634796447917043,753736,1391634796447917043,,-0.154870731461,0.0349247155208,0.149449488073,0.105282507974,0.80943191557,0.0397822440102,0.576327112526
1391634796448711301,753737,1391634796448711301,,-0.154807150792,0.0345119766471,0.149773682323,0.100260041189,0.809942072708,0.0390392889004,0.576556759496
1391634796449461249,753738,1391634796449461249,,-0.154807150792,0.0345119766471,0.149773682323,0.100260041189,0.809942072708,0.0390392889004,0.576556759496
1391634796450264710,753739,1391634796450264710,,-0.154807150792,0.0345119766471,0.149773682323,0.100260041189,0.809942072708,0.0390392889004,0.576556759496
1391634796451024303,753740,1391634796451024303,,-0.154807150792,0.0345119766471,0.149773682323,0.100260041189,0.809942072708,0.0390392889004,0.576556759496
1391634796451803247,753741,1391634796451803247,,-0.155062791822,0.034403897355,0.149190307213,0.101544041118,0.809666805103,0.0396872464166,0.576674427125
1391634796452545507,753742,1391634796452545507,,-0.155062791822,0.034403897355,0.149190307213,0.101544041118,0.809666805103,0.0396872464166,0.576674427125
1391634796453280053,753743,1391634796453280053,,-0.155062791822,0.034403897355,0.149190307213,0.101544041118,0.809666805103,0.0396872464166,0.576674427125
1391634796454056557,753744,1391634796454056557,,-0.155062791822,0.034403897355,0.149190307213,0.101544041118,0.809666805103,0.0396872464166,0.576674427125
1391634796454800772,753745,1391634796454800772,,-0.155052596225,0.0348944722704,0.148903531094,0.110442835756,0.808993840787,0.0419255932415,0.575824270268
1391634796455542121,753746,1391634796455542121,,-0.155052596225,0.0348944722704,0.148903531094,0.110442835756,0.808993840787,0.0419255932415,0.575824270268
1391634796456267425,753747,1391634796456267425,,-0.155052596225,0.0348944722704,0.148903531094,0.110442835756,0.808993840787,0.0419255932415,0.575824270268
1391634796457100691,753748,1391634796457100691,,-0.155052596225,0.0348944722704,0.148903531094,0.110442835756,0.808993840787,0.0419255932415,0.575824270268
1391634796457855153,753749,1391634796457855153,,-0.154943779246,0.0348497743551,0.149301212605,0.105824652099,0.809791229671,0.0390383792522,0.575773664127
1391634796458605242,753750,1391634796458605242,,-0.154943779246,0.0348497743551,0.149301212605,0.105824652099,0.809791229671,0.0390383792522,0.575773664127
1391634796459363557,753751,1391634796459363557,,-0.154943779246,0.0348497743551,0.149301212605,0.105824652099,0.809791229671,0.0390383792522,0.575773664127
1391634796487614295,753752,1391634796487614295,,-0.154943779246,0.0348497743551,0.149301212605,0.105824652099,0.809791229671,0.0390383792522,0.575773664127
1391634796488010127,753753,1391634796488010127,,-0.155202406853,0.0349619589799,0.14871768165,0.104023423414,0.809935616845,0.0378702975646,0.575976791641
1391634796488373371,753754,1391634796488373371,,-0.155202406853,0.0349619589799,0.14871768165,0.104023423414,0.809935616845,0.0378702975646,0.575976791641
1391634796488720883,753755,1391634796488720883,,-0.155202406853,0.0349619589799,0.14871768165,0.104023423414,0.809935616845,0.0378702975646,0.575976791641
1391634796489063135,753756,1391634796489063135,,-0.155202406853,0.0349619589799,0.14871768165,0.104023423414,0.809935616845,0.0378702975646,0.575976791641
1391634796489414382,753757,1391634796489414382,,-0.155202406853,0.0349619589799,0.14871768165,0.104023423414,0.809935616845,0.0378702975646,0.575976791641
1391634796489763086,753758,1391634796489763086,,-0.155202406853,0.0349619589799,0.14871768165,0.104023423414,0.809935616845,0.0378702975646,0.575976791641
1391634796490101001,753759,1391634796490101001,,-0.155202406853,0.0349619589799,0.14871768165,0.104023423414,0.809935616845,0.0378702975646,0.575976791641
1391634796491086269,753760,1391634796491086269,,-0.155202406853,0.0349619589799,0.14871768165,0.104023423414,0.809935616845,0.0378702975646,0.575976791641
1391634796491830090,753761,1391634796491830090,,-0.154889433852,0.0347959028264,0.149411501779,0.106318725473,0.809727802121,0.0394925675228,0.575740872439
1391634796492577043,753762,1391634796492577043,,-0.154889433852,0.0347959028264,0.149411501779,0.106318725473,0.809727802121,0.0394925675228,0.575740872439
1391634796493214459,753763,1391634796493214459,,-0.155099365013,0.0346952613333,0.14913588232,0.101161971225,0.80995276915,0.0390988410485,0.57638012453
1391634796493574907,753764,1391634796493574907,,-0.155099365013,0.0346952613333,0.14913588232,0.101161971225,0.80995276915,0.0390988410485,0.57638012453
1391634796504925422,753765,1391634796504925422,,-0.155099365013,0.0346952613333,0.14913588232,0.101161971225,0.80995276915,0.0390988410485,0.57638012453
1391634796505319512,753766,1391634796505319512,,-0.155131815847,0.0342269961032,0.149118307527,0.0985779988772,0.811157734715,0.0341483609334,0.575447127888
